ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,FAIXA_ETARIA,RISK_SCORE,PERFIL_RISCO,CREDIT_SCORE_FAIXA,MILEAGE_FAIXA,OUTCOME_LABEL
569520,65+,Feminino,majority,0-9y,high school,Alta Renda,0.629027313918201,1.0,after 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,0,65+,0,Baixo,Q4 (Alto),Q2,Sem Sinistro
750365,16-25,Masculino,majority,0-9y,none,Baixa Renda,0.3577571170184627,0.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q4 (Alta),Com Sinistro
199901,16-25,Feminino,majority,0-9y,high school,Classe Trabalhadora,0.4931457852181982,1.0,before 2015,0.0,0.0,10238,11000.0,sedan,0,0,0,0,16-25,0,Baixo,Q2,Q2,Sem Sinistro
478866,16-25,Masculino,majority,0-9y,university,Classe Trabalhadora,0.2060128507324556,1.0,before 2015,0.0,1.0,32765,11000.0,sedan,0,0,0,0,16-25,0,Baixo,Q1 (Baixo),Q2,Sem Sinistro
731664,26-39,Masculino,majority,10-19y,none,Classe Trabalhadora,0.3883658881572184,1.0,before 2015,0.0,0.0,32765,12000.0,sedan,2,0,1,1,26-39,3,Alto,Q1 (Baixo),Q2,Com Sinistro
877557,40-64,Feminino,majority,20-29y,high school,Alta Renda,0.6191273725847388,1.0,after 2015,0.0,1.0,10238,13000.0,sedan,3,0,3,0,40-64,6,Muito Alto,Q4 (Alto),Q3,Sem Sinistro
930134,65+,Masculino,majority,30y+,high school,Alta Renda,0.4929435502195342,0.0,after 2015,1.0,1.0,10238,13000.0,sedan,7,0,3,0,65+,10,Muito Alto,Q2,Q3,Sem Sinistro
461006,26-39,Feminino,majority,0-9y,university,Classe Trabalhadora,0.468689297434465,0.0,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,1,26-39,0,Baixo,Q2,Q3,Com Sinistro
68366,40-64,Feminino,majority,20-29y,university,Classe Trabalhadora,0.5218149362971065,0.0,before 2015,1.0,0.0,10238,13000.0,sedan,0,0,0,0,40-64,0,Baixo,Q2,Q3,Sem Sinistro
445911,40-64,Feminino,majority,0-9y,high school,Alta Renda,0.5615310319383646,1.0,before 2015,0.0,1.0,32765,11000.0,sedan,0,0,0,1,40-64,0,Baixo,Q3,Q2,Com Sinistro
275820,65+,Masculino,majority,30y+,high school,Alta Renda,0.6203612640126029,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,6,2,7,0,65+,15,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
521399,65+,Feminino,majority,30y+,high school,Alta Renda,0.7298308815593941,1.0,after 2015,1.0,0.0,32765,12000.0,sedan,4,0,0,0,65+,4,Alto,Q4 (Alto),Q2,Sem Sinistro
429728,40-64,Masculino,majority,20-29y,high school,Alta Renda,0.6370447435902447,1.0,before 2015,1.0,1.0,10238,8000.0,sedan,4,1,2,0,40-64,7,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
569640,16-25,Feminino,majority,0-9y,university,Alta Renda,0.59125997174597,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,0,16-25,0,Baixo,Q3,,Sem Sinistro
980181,26-39,Masculino,majority,10-19y,high school,Classe Media,0.4615679630439447,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,2,1,0,26-39,3,Alto,Q2,Q2,Sem Sinistro
906223,26-39,Feminino,majority,0-9y,high school,Alta Renda,0.7627979410816134,0.0,after 2015,1.0,0.0,10238,,sedan,0,0,0,0,26-39,0,Baixo,Q4 (Alto),,Sem Sinistro
517747,65+,Masculino,majority,30y+,university,Alta Renda,0.7961748462456987,1.0,before 2015,1.0,1.0,32765,,sedan,10,2,1,0,65+,13,Muito Alto,Q4 (Alto),,Sem Sinistro
24851,16-25,Masculino,majority,0-9y,none,Baixa Renda,,0.0,before 2015,1.0,0.0,32765,12000.0,sedan,0,0,0,1,16-25,0,Baixo,,Q2,Com Sinistro
104086,26-39,Feminino,majority,0-9y,university,Alta Renda,0.6805942795073384,1.0,before 2015,0.0,1.0,32765,,sedan,0,0,0,1,26-39,0,Baixo,Q4 (Alto),,Com Sinistro
240658,16-25,Feminino,majority,0-9y,high school,Classe Trabalhadora,0.4177139816231188,1.0,before 2015,0.0,1.0,10238,18000.0,sedan,0,0,0,1,16-25,0,Baixo,Q2,Q4 (Alta),Com Sinistro
484399,16-25,Feminino,majority,0-9y,high school,Classe Trabalhadora,0.4095135306516067,0.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q4 (Alta),Com Sinistro
912828,16-25,Masculino,majority,0-9y,high school,Classe Media,0.5532600531952381,1.0,after 2015,1.0,1.0,32765,8000.0,sedan,0,0,0,1,16-25,0,Baixo,Q3,Q1 (Baixa),Com Sinistro
892754,40-64,Masculino,majority,20-29y,none,Baixa Renda,0.3309502618581893,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,3,1,1,0,40-64,5,Muito Alto,Q1 (Baixo),Q3,Sem Sinistro
217,16-25,Masculino,majority,0-9y,none,Baixa Renda,,0.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,0,16-25,0,Baixo,,Q4 (Alta),Sem Sinistro
633896,65+,Masculino,majority,30y+,high school,Alta Renda,0.5006306604427161,1.0,before 2015,1.0,1.0,32765,7000.0,sedan,13,2,3,0,65+,18,Muito Alto,Q2,Q1 (Baixa),Sem Sinistro
193110,26-39,Feminino,majority,10-19y,university,Classe Media,0.5519701813636283,1.0,before 2015,1.0,0.0,10238,14000.0,sports car,0,0,0,0,26-39,0,Baixo,Q3,Q3,Sem Sinistro
98515,40-64,Masculino,majority,10-19y,high school,Classe Media,0.6269960497386653,1.0,before 2015,0.0,0.0,10238,13000.0,sedan,1,1,0,0,40-64,2,Médio,Q4 (Alto),Q3,Sem Sinistro
165623,26-39,Masculino,majority,10-19y,none,Baixa Renda,0.2947974807719967,1.0,before 2015,1.0,0.0,10238,15000.0,sedan,0,0,1,0,26-39,1,Médio,Q1 (Baixo),Q4 (Alta),Sem Sinistro
493590,26-39,Masculino,majority,10-19y,university,Classe Media,0.5519504952618395,0.0,after 2015,0.0,0.0,10238,17000.0,sedan,0,0,1,0,26-39,1,Médio,Q3,Q4 (Alta),Sem Sinistro
389792,65+,Masculino,majority,0-9y,university,Alta Renda,0.649820471216227,1.0,after 2015,1.0,1.0,32765,9000.0,sedan,0,0,0,1,65+,0,Baixo,Q4 (Alto),Q1 (Baixa),Com Sinistro
642614,40-64,Masculino,majority,20-29y,high school,Classe Media,0.5218044346397632,1.0,after 2015,1.0,1.0,92101,7000.0,sedan,2,0,1,0,40-64,3,Alto,Q2,Q1 (Baixa),Sem Sinistro
